,ID,title,subject,catalog,career,classUnit,prerequisites,crosslisted,description
37,244,Actuarial Mathematics Lab III,ACTU,486,UGRD,2.0,,,"This lab will be a workshop designed to prepare students for the Actuarial Models examination of the Society of Actuaries and the Casualty Actuarial Society.

NOTE: Students who have received credit for MATH 429 may not take this course for credit.



"
38,245,Honours Project in Actuarial Mathematics,ACTU,493,UGRD,6.0,,,"Specific topics for this course, and prerequisites relevant in each case, will be stated in the Undergraduate Class Schedule.





"
39,246,Concepts and Principles of Adult Education,ADED,201,UGRD,3.0,Student must not have taken the following course: ADED496,,"This course consists of an overview of the field of adult education as a field of study with emphasis given to its philosophy, objectives, historical development, and the nature of adult learners. It also examines adult education as a field of practice with emphasis given to methods, techniques, roles, and competencies. This course stresses active student participation and self-directedness.

NOTE: Students who have received credit for ADED 200 may not take this course for credit.



"
40,247,The Scope and Nature of Adult Education Programs,ADED,202,UGRD,3.0,Student must not have taken the following course: ADED496,,"This course is designed to help students develop an understanding of the scope and nature of adult education programs. Emphasis is placed on existing programs, and institutions and agencies providing them. The course stresses active student participation and self-directedness.

NOTE: Students who have received credit for ADED 200 may not take this course for credit.



"
41,248,Adults as Learners,ADED,220,UGRD,3.0,,,"This course examines the unique physiological, psychological, and sociological characteristics of adults, their influence on adult learning and development, and their implications for educational intervention. Attention is given to changes which occur at various stages of the adult life cycle, and particularly to the dimensions which affect the adults self-concept and orientation to learning, the motivations, needs, and interests which cause adults to participate in educational activities.





"
42,253,Design of Adult Learning Projects,ADED,344,UGRD,3.0,,,"The purpose of this course is to assist participants in developing a clear working concept of various models for planning and designing adult learning projects. To facilitate this understanding, the different steps of the process are closely examined and discussed. Participants are given an opportunity to design and conduct a learning activity in the area of subject matter speciality. A systems approach, including methods for evaluating the design of the learning project is emphasized.

NOTE: Students who have received credit for ADED 340 or 341 or 343 may not take this course for credit.



"
43,254,Evaluating Adult Learning Projects,ADED,345,UGRD,3.0,,,"The purpose of this course is to assist participants in developing a clear working concept of various models for assessing the effectiveness of adult learning projects. The course emphasizes a systematic approach to evaluation, techniques for collecting information and providing feedback to program operation and impact. Participants are given the opportunity to conduct an evaluation of an adult learning project in the area of subject matter speciality.

NOTE: Students who have received credit for ADED 342 or 343 may not take this course for credit.



"
44,257,Diversity in Adults,ADED,403,UGRD,3.0,,,"It is the role of adult educators (agents of change) to confront issues of diversity and to challenge the forces of racism, sexism, classism, homophobia, and discrimination. By integrating notions of education, and by reflecting on the roles of practitioners, this course develops strategies to resist structural inequality and oppression.

NOTE: Students who have received credit for this topic under an ADED 498 number may not take this course for credit.



"
45,258,Adult Education in Canada and Quebec,ADED,410,UGRD,3.0,,,"The purpose of this course is to examine the historical development and current state of adult education in Canada, with special reference to Quebec. Various factors which influenced the development of adult education in our society are explored; the focus is on present status, role and structure, and socio-cultural and philosophical underpinnings of the field.





"
46,260,ISSUES IN THE PRACTICE,ADED,440,UGRD,3.0,,,Please see UGRD Calendar
47,273,Integrative Internship I,ADED,496,UGRD,3.0,"Prerequisite: ADED201, ADED202 and 15 credits in the program.",,"This internship is designed to assist individual students in achieving a synthesis of their own experiential learning in light of acquired knowledge, skills, values, and attitudes through the clarification of personal aims and the philosophy of adult education. Students will normally enrol in this internship near the end of their program.
Prerequisite: ADED 201; ADED 202 and 15 credits in the program.
NOTE: Students who have received credit for ADED 495 may not take this course for credit.
NOTE: Students will normally enrol in ADED 496 near the end of their program.


"
48,274,Integrative Internship II,ADED,497,UGRD,3.0,   Course Prerequisite: ADED496; Never Taken/Not Registered: ADED495,,"This internship is designed to extend the personal aims and philosophy of adult education arrived at in Integrative Internship I, and engage in a special project in an adult education facility where supervision is provided by the host institution.
Prerequisite: Successful completion of ADED 496.
NOTE: Students who have received credit for ADED 495 may not take this course for credit."
49,277,ADVANCED TOPICS IN ADULT EDUCATION,ADED,498C,UGRD,3.0,,,
50,316,ADED-QUEBEC AS A FIELD STUDY,ADIP,500,GRAD,3.0,,,Please see GRAD Calendar
51,317,PHIL ISSUES IN EDUC RESEARCH,ADIP,501,GRAD,3.0,,,Please see GRAD Calendar
52,318,EDUC.PROB/PHILOSOPH.PERSPECT,ADIP,511,GRAD,3.0,,,Please see GRAD Calendar
53,319,EDUC.PROB./HIST.PERSPECTIVE,ADIP,512,GRAD,3.0,,,Please see GRAD Calendar
54,320,ANTH CONCEPTS & METHODS-EDUC,ADIP,513,GRAD,3.0,,,Please see GRAD Calendar
55,323,ADULTS AS LEARNERS,ADIP,520,GRAD,3.0,,,Please see GRAD Calendar
56,325,FACILITATING ADULT LEARNING,ADIP,533,GRAD,3.0,,,Please see GRAD Calendar
57,326,INTRODUCTION TO RESEARCH,ADIP,540,GRAD,3.0,,,Please see GRAD Calendar
58,327,DESIGNING ADULT LRN.PROJECTS,ADIP,541,GRAD,3.0,,,Please see GRAD Calendar
59,328,EVAL ADULT LEARNING PROJECTS,ADIP,542,GRAD,3.0,,,Please see GRAD Calendar
60,329,SCHOOL AND SOCIETY,ADIP,544,GRAD,3.0,,,Please see GRAD Calendar
61,333,CONCEPTS & VALUES IN ADED,ADIP,572,GRAD,3.0,,,Please see GRAD Calendar
62,334,READING COURSE,ADIP,580,GRAD,3.0,,,Please see GRAD Calendar
63,335,READING COURSE,ADIP,581,GRAD,3.0,,,Please see GRAD Calendar
64,337,ISSUES IN THE PRACTICE,ADIP,590,GRAD,3.0,,,Please see GRAD Calendar
65,345,SPECIAL TOPICS IN ADED II,ADIP,598,GRAD,3.0,,,Please see GRAD Calendar
66,360,Introduction to Administration (Administered by the Finance Department),ADMI,201,UGRD,3.0,,,"This course is intended to develop a basic understanding of the role of administration in our society. The course includes a survey of different forms of organizations, their social and legal responsibilities, and how they function to achieve their goals.

NOTE: JMSB students may not take this course for credit.
NOTE: This course does not count towards the requirements for the Minor in Business Studies.


"
67,361,Perspective on Canadian Business (Administered by the Finance Department),ADMI,202,UGRD,3.0,   Never Taken/Not Registered: MANA369,,"This course is designed to review the historical development of business in Canada and to examine the relationships between the firm (management) and the owners, the employees, the customers, the government, and the community. Further, it studies some of the problems facing Canadian business today: the dehumanizing aspect, pollution problems, large vs. small firms, foreign ownership, and competition.

NOTE: JMSB students may not take this course for credit.
NOTE: Students who have received credit for this course may not take MANA 369 for credit.
NOTE: This course does not count towards the requirements for the Minor in Business Studies.

"
68,384,SPECIAL TOPICS-INSTIT ADMIN,ADMI,543,GRAD,3.0,,,Please see GRAD Calendar
69,409,ORGANIZATIONAL BEHAVIOUR,ADMI,810,GRAD,3.0,,,Please see GRAD Calendar
70,428,ORGANIZATIONAL BEHAVIOUR,ADMI,811,GRAD,3.0,,,Please see GRAD Calendar
71,448,DESC & M.I.S.,ADMI,820,GRAD,3.0,,,Please see GRAD Calendar
72,505,MARKETING,ADMI,830,GRAD,3.0,,,Please see GRAD Calendar
73,522,MARKETING,ADMI,831,GRAD,3.0,,,Please see GRAD Calendar
74,537,MARKETING MEANG/MANAGEMNT/BRANDS,ADMI,831R,GRAD,3.0,,,Please see GRAD Calendar
75,547,FINANCE,ADMI,840,GRAD,3.0,,,Please see GRAD Calendar
76,586,BUSINESS POLICY & STRATEGY,ADMI,850,GRAD,3.0,,,Please see GRAD Calendar
77,605,BUSINESS POLICY & STRATEGY,ADMI,851,GRAD,3.0,,,Please see GRAD Calendar
78,627,BUSINESS POLICY/STRATEGY,ADMI,852,GRAD,3.0,,,Please see GRAD Calendar
79,649,BUSINESS POLICY AND STRATEGY,ADMI,853,GRAD,3.0,,,Please see GRAD Calendar
80,650,ACCOUNTANCY & CONTROL,ADMI,860,GRAD,3.0,,,Please see GRAD Calendar
81,676,RESEARCH METHODOLOGY IN MANA,ADMI,870,GRAD,3.0,,,Please see GRAD Calendar
82,677,PEDAGOGICAL METHODS,ADMI,880,GRAD,3.0,,,Please see GRAD Calendar
83,679,COMPREHENSIVE EXAMINATIONS,ADMI,889,GRAD,6.0,,,Please see GRAD Calendar
84,680,THESIS,ADMI,890,GRAD,60.0,,,Please see GRAD Calendar
85,705,STNDRDS/REGUL N/CERTIF N,AERO,417,UGRD,3.0,PREREQ: ENGR 201. Must complete all 200 level program courses before enrolling in 400 level course,,Please see UGRD Calendar
86,706,PRINCIPLES OF AEROELASTICITY,AERO,431,UGRD,3.0,"Prerequisite: ENGR 243, 361; MECH 375",,Please see UGRD Calendar
87,707,TURBOMACHINERY+PROPULSION,AERO,462,UGRD,3.0,"   Course Prerequisite: MECH351, MECH361",,Please see UGRD Calendar
88,708,AERODYNAMICS,AERO,464,UGRD,3.0,   Course Prerequisite: MECH361,,Please see UGRD Calendar
89,709,GAS TURBINE DESIGN,AERO,465,UGRD,3.5,   Course Prerequisite: AERO462,,Please see UGRD Calendar
90,710,FLIGHT CONTROL SYSTEMS,AERO,480,UGRD,3.5,"  You must complete 1 of the following rules   Course Prerequisite: AERO371, ELEC372, MECH371, SOEN385",,Please see UGRD Calendar
91,711,AVIONIC NAVIGATION SYSTEMS,AERO,482,UGRD,3.0,Course Prerequisite: AERO 371 or ELEC372 or MECH370 or SOEN385; ENGR371 or COMP233,,Please see UGRD Calendar
92,712,INTEGR. OF AVIONIC SYSTEMS,AERO,483,UGRD,3.0,   Course Prerequisite: AERO482,,Please see UGRD Calendar
93,713,AIRCRAFT STRESS ANALYSIS,AERO,486,UGRD,3.0,"   Course Prerequisite: ENGR243, ENGR244",,Please see UGRD Calendar
94,714,DESIGN OF AIRCRAFT STRUCTURE,AERO,487,UGRD,3.0,   Course Prerequisite: AERO486,,Please see UGRD Calendar
95,715,Historical Foundations of Leisure and Recreation,AHSC,215,UGRD,3.0,   Never Taken: AHSC431; Never Taken/Not Registered: HIST215,,"This course offers a broad overview of leisure and recreation throughout history, highlighting selected major patterns and important similarities or differences among different historical eras Students learn about threaded themes related to leisure and recreation that have existed throughout history, as well as the origin and development of leisure/recreation-related systems, such as leisure services and leisure studies, emphasizing Canadian and North American perspectives The historical roots of leisure, the conditions in society that have affected leisure, the responses to those conditions, and the role of leisure in contemporary life as shaped by historical events are investigated

NOTE: Students who have received credit for HIST 215 or for this topic under an AHSC 298 number may not take this course for credit



"
96,716,LIFESPAN GROWTH&DEVELOP.,AHSC,220,UGRD,3.0,"Students who have received credit for PSYC230 may not take this course for credit.  
Students registered in a Psychology program may not take this course for credit.",,"This survey course provides an interdisciplinary overview of biopsychosocial patterns of development over the lifespan, from
conception to death. Students learn about theories of human development, with an emphasis on typical normative development,
and on application of theory to practice. The course material covers key issues in development, major milestones of development,
and major life events.

NOTE: Students who have received credit for PSYC 230 may not take this course for credit.

NOTE: Students registered in a Psychology program may not take this course for credit."
97,717,Principles of Experiential & Action Learning & the Reflective Practitioner,AHSC,225,UGRD,3.0,,,"This course introduces students to the ways in which theories of learning (including
experiential, transformational, integral and action learning) relate to and can inform efforts to bring improvement and change to individuals and groups. The course explores the importance of personal engagement in learning, and illustrates how ongoing reflection strengthens a learning process. It enables students to create clear personal visions, set relevant learning goals, create and organize related activities, and assess their progress. The course provides learning process models and ways to identify personal stylistic differences which affect personal learning progress and strategies."
98,718,Interpersonal Communication and Relationships,AHSC,230,UGRD,3.0,"Student must not have taken the following courses: AHSC232, AHSC311, AHSC312, AHSC313, AHSC315, AHSC361, AHSC460",,"This course is designed to provide knowledge and skill in building and maintaining interpersonal relationships characterized by mutual understanding and respect. Students can expect to enhance their understanding of themselves and their personal styles. The course focuses on effective communication behaviour. Students can expect to improve their abilities to attend to verbal and non?verbal communication; exchange constructive feedback with others; address and deal constructively with conflict; and communicate across differences, such as gender and race. Conceptual perspectives include the contextual influences in
relationship dynamics and the role of affect in interpersonal communication. The course also examines value considerations"
99,719,WORKING IN TASK GROUPS,AHSC,232,UGRD,3.0,Prerequisite: AHSC230.,,"Prerequisite: AHSC 230. This course is an introduction to understanding interaction and developmental processes of small groups and skill?building for effective participation. It enables students to learn frameworks for observing a group?s process, member roles that facilitate positive group processes and task accomplishment, and models of intervention in small groups. The course provides opportunities for students to integrate the theory they learn with their experiences in a task group."
100,720,RECREATION AND LEISURE IN CONTEMPORARY SOCIETY,AHSC,241,UGRD,3.0,"Students must not have taken the following courses: AHSC242; Never Taken:AHSC285, AHSC323, AHSC333, AHSC340, AHSC350, AHSC361,AHSC371, AHSC381, AHSC421, AHSC422, AHSC444",,"This course introduces students to the theories and relationships of play, perceptions of free and discretionary time, concepts of leisure, and the historical foundations for the discipline. The concepts are presented as integral components of today?s lifestyle. In addition, the organized recreation system is examined, with an introduction to the leisure services delivery system. The students also examine the role that leisure plays in current societal issues."
101,721,RECREATION/LEISURE IN CANADA,AHSC,242,UGRD,3.0,   Never Taken/Not Registered: AHSC241,,
102,726,"PROGRAM PLANNING, DESIGN AND EVALUATION",AHSC,260,UGRD,3.0,"Student must not have taken the following courses: AHSC330, AHSC350, AHSC355, AHSC371, AHSC380, AHSC381, AHSC382, AHSC422, AHSC444",,"The course prepares students to construct effective interactive programs designed for specific client populations. Using program design principles and practices, students match learning activities to desired program outcomes, while considering participant qualities and contextual features. Emphasis is placed on assessment, design, and evaluation knowledge and skills."
103,727,Introduction to Human Relations Theory and Research,AHSC,270,UGRD,3.0,"Students must not have taken the following courses: AHSC370, AHSC375, AHSC423, AHSC443",,"This course is an introduction to general systems theory and change from an interventionist
perspective, as well as an orientation to various unique human systems. It focuses on understanding applied social science research and examines general strategies of intervention and salient models of practice, exposing students to varied domains of application. The course also features attention to values and ethical issues associated with
specific practice and intervention strategies and the role of social justice and anti-oppressive approaches."
104,728,INTRODUCTION TO THERAPEUTIC RECREATION,AHSC,281,UGRD,3.0,"Students must not have taken the following courses: AHSC381, AHSC383, AHSC384, AHSC450",,"An examination of the fundamental concepts of therapeutic recreation. Included is the study of the historical foundations and the basic terminology, purposes, and theories of therapeutic recreation."
105,729,Social Psychology of Leisure,AHSC,285,UGRD,3.0,   Never Taken/Not Registered: PSYC286; Course Corequisite: AHSC241,,"This course examines how personal and social factors shape individuals perceptions, experiences, and responses to the availability of discretionary time Students review current theory and research focusing on the relationship between leisure and individual functioning, and applications to human problems associated with leisure
Prerequisite: AHSC 241 previously or concurrently
NOTE: Students who have received credit for PSYC 286 or for this topic under an AHSC 298 number may not take this course for credit



"
106,737,TOURISM IN CANADA,AHSC,310,UGRD,3.0,,,"This course presents an examination of the tourism industry in Canada, including concepts, research, practices, and promotion. Topics covered include destination motivation, commercial recreation, business travel, trends in tourism development, government agencies, the economics of promotion, social objectives, market segmentation, and ethical and legal considerations."
107,738,RESPECTING DIVERSITY IN HUMAN RELATIONS,AHSC,311,UGRD,3.0,Prerequisite: 24 university credits including AHSC 230.,,"This course examines theories of diversity and difference, as well as the effects of biases, stereotypes and stigmatization in personal interactions, institutional practices, and socio?cultural norms. It considers the role of identity?related issues such as age, culture, disability, ethnicity, gender, geographical location, health status, history, language, power, race, religion, sexual orientation, and social class in human relationships and systems.

NOTE: Students who have received credit for AHSC 245 may not take this course for credit."
108,739,SEXUALITY IN HUMAN RELATIONS,AHSC,312,UGRD,3.0,"Prerequisite: 24 university credits including AHSC 220, 230; or enrolment in the Major or Minor in Interdisciplinary Studies in Sexuality.",,"This course provides students with knowledge of physical and psychosocial aspects of sexuality in relationships through life and examines values, attitudes, and issues related to the development and expression of sexuality. Topics include gender, family, cultural and media influences; historically and culturally based attitudes; prevention and sexually transmitted diseases; self?perception and identity in sexuality; and emotion and sexuality. The course aims to foster respect for persons and diversity.

NOTE: Students who have received credit for AHSC 253 may not take this course for credit."
109,740,FAMILY COMMUNICATION,AHSC,313,UGRD,3.0,Prerequisite: AHSC 220 and AHSC 230.,,"This course is a requirement for students enrolled in the Certificate in Family Life Education. This course is an examination of patterns, effective approaches, and issues in communication among persons in primary partnerships and families. It also explores topics such as diversity in forms of ?family,? decision?making, problem?solving, power relations, gender issues, managing differences in expectations, and the influences of cultural, social, and economic contexts.

NOTE: Students who have received credit for AHSC 254 may not take this course for credit."
110,741,ADOLESCENCE: ISSUES AND INTERVENTION,AHSC,314,UGRD,3.0,Prerequisite: AHSC 220. Never Taken: AHSC402,,"Prerequisite: AHSC 220. This course links knowledge of adolescent development to a more detailed examination of related adolescent patterns and issues, including peer relations and friendship, parental and family relations, identity, sexuality and gender, and socio?economic and cultural influences. Directed towards students interested in working with adolescents, the course combines theoretical and practical knowledge relating to adolescents, their parents and their concerns for the purpose of enhancing the adolescent experience."
